date,score_0_100,breadth_score,trend_score,momentum_score,liquidity_score,volatility_score,leadership_score,capital_score,ew_return_1d,advancers,decliners,unchanged,new_high_20,new_low_20,limit_up_like,limit_down_like,coverage,ew_index,score_ma3,breadth_ma3,score_delta3,state,silver_finger,gold_finger
2020-05-19,59.38110472237933,73.63095238095238,46.769273433166944,52.74307690431943,39.343860450766506,53.12832005685899,98.25291181364393,53.366963003893375,0.011223210012977916,2474,886,246,241,67,83,10,3606,1014.9482522389095,51.8381218675205,55.160618041774434,18.24376785262193,RECOVERY,False,False
2020-05-20,40.429076941563814,27.639484978540775,42.29490022172949,45.8333333333333,42.84564615937816,52.73070565103013,41.130820399113084,47.44452247323358,-0.00851825842255472,966,2529,113,156,188,63,26,3608,1006.3026607408183,48.87698718775823,47.54120051576766,-8.883404039286809,TRANSITION,False,False
2020-05-21,35.21115148079817,28.7369640787949,37.0462732058742,46.09040928527794,40.6753884850594,52.55847204183915,0.0,46.93877900380173,-0.010204069987327568,992,2460,157,106,320,57,25,3609,996.034277962185,45.007111048247104,43.335800479429345,-11.609628418533369,DEFENSIVE,False,False
2020-05-22,30.372020315376812,18.391787852865697,28.654485049833887,43.017523769269175,40.98040250129431,51.93770467971088,0.0,44.99433867276005,-0.016685537757466513,645,2862,105,56,635,42,36,3612,979.4149104095161,35.337416245912934,24.922745636733783,-29.009084407002515,DEFENSIVE,False,False
2020-05-25,37.126369777507556,46.35143023934617,28.557585825027687,49.406227414019035,31.612536300535137,51.94936234507945,0.0,49.584885219488136,-0.0013837159350395512,1588,1838,186,101,420,45,30,3612,978.0596783909672,34.23651385789418,31.16006072366892,-3.302707164056258,DEFENSIVE,False,False
2020-05-26,60.068762556878376,90.9533352419124,38.001660669803485,56.25610948191593,36.33476811925486,51.126782876829324,79.33849986161086,55.89873396839891,0.019662446561329695,3177,316,120,135,29,109,17,3613,997.290724551121,42.522384216587575,51.898851111374746,24.857611076080204,RECOVERY,True,False
2020-05-27,44.49153157589907,37.85755983654408,37.03241895261845,48.09523809523806,38.19626317160383,51.694771229630796,70.50429481850928,49.14052062798146,-0.0028649312400617953,1297,2129,183,179,105,66,11,3609,994.4335551989307,47.228887970095,58.38744177260088,14.119511260522255,TRANSITION,False,False
2020-05-28,40.73472902493027,37.26059199071387,35.36821705426357,47.957445329068584,39.48267260946986,52.39802400614273,35.603543743078625,48.5952630139237,-0.004682456620254327,1284,2162,166,125,177,47,35,3612,989.7771632149863,48.43167438590257,55.35716235639011,3.6083592474227117,TRANSITION,False,False
2020-05-29,52.795984422401254,60.16090584028606,38.66906474820144,51.19069969390715,39.761518971614876,54.36022222053067,83.48090758162701,51.89998465290768,0.006333282176358934,2019,1337,258,207,86,69,23,3614,996.0457012813429,46.00741500774353,45.09301922251466,-7.272778134477122,TRANSITION,False,False
2020-06-01,70.83011366464858,95.39842873176207,55.60786485738023,59.10434525569022,58.380698986268,53.3976953532492,100.0,57.928146772267176,0.026427155907557256,3400,164,47,366,19,134,17,3611,1022.3683563201571,54.78694237066003,64.27330885425398,26.33858208874951,RISK_ON,False,False
